geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ita,Italy,39444.17,40452.92,40454.36,42090.95,43251.23,44480.57,45478.65,45768.17,46088.15,46176.56,47418.13,48415.23,48764.63,50011.53,48485.47,49885.3,50754.39,52451.53,53437.43,53332.74,52436.29,51737.39,52184.15,51332.61,51359.35,52671.48,51524.6,52687.45,52182.45,52094.72,52532.12,51492.66,52207.9,51113.41
jam,Jamaica,399.38,413.7,419.35,431.41,449.29,484.23,544.93,586.25,614.78,640.6,677.86,711.5,698.02,717.01,710.61,691.68,700.43,728.88,776.53,774.18,812.87,850.25,915.94,984.07,1023.11,1060.57,1097.73,1126.81,1153.67,1190.72,1232.42,1335.52,1284.24,1300.41
jor,Jordan,255.59,275.76,301.22,316.7,339.34,359.64,379.36,405.95,435.39,466.32,506.54,552.82,595.15,624.8,696.81,807.4,916.9,992.33,1084.34,1204.36,1329.23,1475.02,1608.48,1737.28,1897.5,2047.75,2201.38,2369.03,2538.58,2737.86,3041.98,3613.03,3384.93,3563.61
jpn,Japan,26195.17,27614.95,29052.61,30729.29,32862.85,35969.03,37976.21,40260.13,41892.69,43763.23,45005.94,46878.51,47377.36,48977.79,51778.64,54056.68,55952.27,58269.98,61130.6,62288.15,65688.8,67490.86,68256.42,70868.57,72342.87,74174.52,75962.09,78039.84,79352.79,80019.74,78533.29,78873.94,83947.75,87972.06
kaz,Kazakhstan,3201.27,2615.17,2510.38,2500.89,2547.25,2498.46,2579.16,2617.46,2642.03,2786.93,2805.12,2797.06,2858.41,2829.91,2808.21,2911.62,3031.71,3089.76,3263.33,3313.63,3409.97,3479.75,3597.72,3524.94,3416.87,3441.75,3466.35,3489.79,3549.61,3506.02,3683.79,3820.98,3270.8,3421.2
ken,Kenya,1391.7,1399.05,1414.38,1444.71,1485.26,1536.16,1606.91,1688.54,1797.15,1914.4,2070.04,2130.16,2234.29,2271.65,2415,2494.05,2576.14,2725.02,2920.33,3167.24,3453.63,3723.28,3994.04,4151.19,4318.41,4699.53,5107.62,5625.41,6125.41,6589.27,6897.58,8140.97,8697.6,9438.03
kgz,Kyrgyz Republic,540.97,539.91,564.05,591.5,620.89,601.11,587.49,579.17,553.24,555.06,485.76,483.85,497.79,527.46,536.12,536.47,564.9,586.7,604.36,631.47,618.81,667.11,655.15,640.58,670.65,680.87,678.61,727.45,771.61,713.79,625.33,702.64,730.99,825.68
khm,Cambodia,475.03,504.84,541.23,581.14,616.6,650.55,671.72,694.29,726.17,741.37,763.03,810.37,855.16,888.24,935.72,1000.81,1054.1,1138.94,1201.07,1266.86,1341.65,1405.75,1493.01,1573.92,1634.96,1707.19,1781.88,1825.97,1905.49,2013.39,2122.24,2104.04,2353.45,2652.65
kir,Kiribati,3.5,3.62,3.73,3.91,4.18,4.51,4.77,5.06,5.44,5.79,6.14,6.39,6.64,6.84,7.02,7.22,7.41,7.63,7.84,8.11,8.32,8.49,8.65,8.83,9,9.25,9.55,9.91,10.58,10.76,11.3,12.34,12.84,13.49
kna,St. Kitts and Nevis,10.94,10.28,10.09,10.06,10.57,10.71,10.98,11.1,11.33,11.97,12.59,12.59,13.76,13.73,13.89,14.04,14.79,15.3,15.58,16,16.31,17.09,17.33,17.74,17.42,17.7,18.01,18.66,19.23,20,21.25,21.85,21.8,22.82
kor,South Korea,2580.82,2724.55,2860.6,3036.8,3288.4,3590.25,3961.25,4411.31,4672.48,4947.02,5186.22,5378.98,5782.39,6265.17,6835.08,7474.88,8061.98,8744.36,9404.57,9992.21,10545.65,10873.02,11484.46,12164.72,12672.24,13297.41,13808.57,14135.76,14753.83,15148.55,15620.01,15473.35,15870.07,16443.02
kwt,Kuwait,152.85,160.52,156.9,154.06,154.32,164.85,171.85,163.89,184.87,188.71,205.99,242.44,235.16,255.45,264.63,292.25,320.1,370.56,407.23,463.95,551.49,613.88,675.16,698.08,769.11,805.13,873.61,918.45,977.12,1049.18,992.82,1029.46,1161.51,1214.03
lao,Lao,169.88,179.87,190.95,204.45,218.15,227.77,239.96,252.27,267.42,279.57,289.54,305.03,319.97,335.45,351.67,372.91,397.21,429.4,464.16,512.26,562.3,619.93,668.98,740.59,810.32,893.12,969.15,1042.29,1118.26,1209.19,1321.31,1402.47,1608.83,1741.78
lbn,Lebanon,284.45,294.17,312.78,329.92,354.83,379.41,406.5,435.31,460.75,508.8,547.35,589.7,623.7,658.76,690.47,724.91,774.82,842.02,924.57,1013.84,1099.98,1223.32,1354.85,1495.65,1629.22,1727.77,1746.09,1855.91,2136.68,2697.7,3212.06,2063.99,2634.18,2731.36
lbr,Liberia,153.1,148.19,137.99,142.04,144.71,140.12,148.38,142.78,152.73,162.27,174.24,178.36,187.28,190.96,200.67,208.63,235.21,252.7,278.49,308.76,337.79,362.73,410.47,459.02,483.65,519.6,559.37,628.98,709.48,798.46,863.11,1047.22,1163.7,1291.93
lby,Libya,199.74,219.89,238.98,259.44,279.13,295.88,315,334.06,366.61,403.33,436.29,473.72,509.4,551.65,610.62,680.4,744.01,793.58,841.59,891.15,943.69,999.09,1063.32,1072.6,1099.65,1108.19,1105.64,1164.59,1243.21,1325.54,1431.47,1685.02,1497.35,1567.67
lca,St. Lucia,27.68,28.22,28.62,28.4,29.64,29.58,30.99,30.65,30.71,32.6,34.58,35.74,38.13,38.5,40.21,39.47,40.31,40.88,42.3,45.93,49.54,51.63,54.59,53.6,52.92,54.15,52.4,54.58,57.37,58.15,59.22,65.92,65.51,70.7
lka,Sri Lanka,1249.92,1305.49,1354.24,1409.45,1496.02,1547.88,1688.27,1738.15,1862.53,1879.53,1893.84,1983.32,2018.81,2059.93,2504.39,2334.79,2539.71,2708.34,2887.87,3020.25,3192.12,3341.7,3492.18,3700.3,3878.24,4064.53,4262.71,4531.85,4648.1,4671.68,4851.8,5136.95,6831.3,7292.5
lso,Lesotho,128.09,129.08,127.8,126.2,123.73,121.7,122.92,125.69,126.73,129.77,136.76,179.57,217.99,193.79,173.9,142.49,114.59,102.72,106.65,118.27,127.89,137.03,142.08,146.78,151.17,155.67,158.62,162.89,167.91,172.15,171.65,192.37,212.3,220.96
ltu,Lithuania,1560.79,1581.09,1616.31,1488.91,1423.19,1395.36,1487.91,1566.55,1533.99,1533.75,1581.69,1624.28,1703.42,1768.21,1742.67,1662.96,1557.43,1603.29,1686.63,1775.75,1761.93,1734.2,1714.36,1675.82,1633.12,1647.12,1598.52,1575.2,1614.75,1675.38,1657.05,1684.44,1713.92,1683.19
lux,Luxembourg,258.63,257.43,250.03,269.66,282.98,293.97,283.64,285.14,282.74,295.22,308.88,311.89,307.64,315.13,314.8,327,348.45,351.62,371.43,383.01,392.17,384.72,376.79,386.8,391.83,397.22,386.66,383.16,383.36,389.15,388.12,379.14,387.69,418.88
lva,Latvia,1217.1,1269.19,1297.82,1337.71,1319.09,1282.23,1130.27,1086.76,1062.67,1094.47,1137.23,1135.38,1175.3,1168.09,1201.56,1179.87,1173.99,1146.04,1226.44,1269.1,1257.73,1267.58,1241.24,1226.88,1225.39,1246.34,1237.56,1193.98,1178.56,1193.95,1215.6,1223.28,1219.95,1149.41
mar,Morocco,1286.23,1357.86,1418.29,1486.92,1563.07,1628.83,1717.2,1789.16,1906.01,2018.76,2149.88,2293.49,2417.7,2626.93,2831.55,3024.1,3237.17,3486.52,3768.81,4075.79,4383.51,4736.45,5113.06,5583.04,6042.27,6515.49,7096.27,7601.13,8276.62,9088.71,10132.38,11282.36,11636.73,11697.57
mco,Monaco,37.24,37.64,37.91,38.64,39.58,40.65,41.52,42.1,42.74,42.59,42.27,42.19,42.16,42.87,43.68,45.72,46.43,47.4,48.79,50.44,51.72,50.84,52.04,52.84,52.75,54.51,54.26,54.4,54.28,55.55,55.54,60.51,64.2,67.51
mda,Moldova,1170.04,1072.06,1113.3,1180.28,1168.29,1150.34,1143.5,1092.09,1071.24,1153.36,1137.67,1171.45,1211.64,1232.65,1231.32,1213.78,1284.58,1345.86,1429.5,1467.14,1411.2,1492.2,1467.6,1510.07,1470.24,1527.65,1536.95,1572.33,1532.49,1475.57,1328.73,1227.39,1325.99,1457.62
mdg,Madagascar,1187.56,1248.86,1297.24,1314.19,1352.2,1378.4,1364.74,1333.54,1319.92,1338.61,1325.46,1317.99,1287.6,1267.09,1264.15,1292.76,1338.81,1405.22,1464.65,1506.89,1553.45,1608.85,1667.87,1730.44,1801.1,1903.16,2027.09,2166.52,2360.72,2560.72,2553.91,2971.92,3890.54,4404.48
mdv,Maldives,7.11,7.81,8.52,9.14,9.68,10.64,11.92,13.18,14.15,15.31,16.7,18.16,19.43,21.01,22.85,23.87,25.5,27.26,28.83,30.2,31.55,32.94,33.98,35.09,36.24,37.95,39.63,41.89,44.37,47.69,49.28,49.34,51.07,51.72
mex,Mexico,5830.11,6268.57,6773.57,7274.89,7744.66,8220.07,8758.92,9225.72,9732.44,10137.19,10430.58,10870.04,11492.89,11899.02,12538.61,12790.24,13300.24,13658.33,14171.54,14084.97,14955.35,15639.33,16453.65,16666.2,17610.56,18725.09,19839.41,21013.72,21978.94,22830.09,23545.42,24804.41,23910.74,24506.32
mhl,Marshall Islands,3.73,3.87,4.01,4.16,4.31,4.46,4.61,4.79,5.02,5.19,5.47,5.58,5.83,6.07,6.27,6.45,6.61,6.81,7.01,7.33,7.64,7.95,8.26,8.59,8.87,9.13,9.41,9.7,9.96,10.27,10.78,11.81,11.95,12.45
mkd,North Macedonia,409.64,424.54,429.85,435.69,455.43,486.05,509.69,535.15,549.59,575.3,599.79,601.58,609.77,616.01,632.56,664.09,675.33,702.93,717.32,730.22,742,753.84,757.38,752.46,764.14,787.69,801.27,832.09,859.22,931.44,930.95,903.75,933.04,897.36
mli,Mali,593.87,606.61,617.26,630.24,637.95,655.55,674,679.48,695.84,707.76,726.18,742.51,778.03,822.79,882.99,940.49,1032,1148.68,1244.97,1351.7,1451.84,1562.55,1622.74,1733.15,1858.34,2094.21,2337.61,2551.16,2761.97,2946.72,2998.31,3379.23,4040.48,4454.75
mlt,Malta,214.35,226.39,231.17,250.33,256.51,260.78,256.02,251.83,266.77,272.18,285.41,275.42,268.34,273.69,278.93,293.11,306.04,307.24,301.8,321.27,316.6,314.45,309.78,316.8,318.45,327.77,327.58,324.89,350.7,362.51,375.87,395.96,398.38,395.64
mmr,Myanmar,3403,3626.72,3828.24,4027.21,4220.31,4432.32,4612.72,4829.11,5087.54,5286.81,5505.48,5672.24,5831.21,5959.7,6140.49,6329.66,6414.56,6521.66,7566.32,6725.68,6861.31,7072.22,7196.64,7544.73,7975.67,8357.59,8868.35,9366.96,9901.96,10670.72,11551.71,13108.46,13394.39,14540.6
mne,Montenegro,225.8,226.08,230.81,237.13,246.05,253.93,253.71,266.86,281.59,290.8,300.56,312.24,324.13,335.54,337.01,336.94,358.85,355.14,354.74,374.46,383.01,392.73,402.95,414.86,421.46,435.99,444.13,429.57,449.54,424,439.38,411.79,437.05,462.48
mng,Mongolia,62.64,67.48,70.9,73.89,76.84,83.85,90.57,95.46,99.61,102.28,105.27,106.03,105.93,107.01,108.64,113.12,118.45,124.77,131.35,136.98,141.49,146.97,154.4,161.19,164.97,166.67,166.25,172.12,176.41,176.28,182.52,214.73,215.86,222.18
moz,Mozambique,586.5,575.37,569.45,564.19,560.14,568.45,576.43,581.61,592.57,603.38,614.9,614.9,633.3,630.63,635.82,638.24,636.48,627.07,644.29,635.94,628.19,625.86,632.3,636.08,629.05,642.93,665.86,696.17,733.78,796.01,851.46,885.03,1026.38,1125.88
mrt,Mauritania,118.76,121.73,127.46,135,132.45,137.19,146.89,155.47,169.67,172.75,185.96,196.42,209.88,214.68,235.28,251.9,283.78,289.43,299.27,334.14,347.57,359.34,388.49,412.85,416.2,436.16,447.98,505.11,535.4,609.76,597.99,686.76,857.92,966.18
mus,Mauritius,92.03,94.09,115.89,139.29,150.69,150.5,159.85,170.64,187.93,214.36,224.16,241.45,252.22,271.46,283.06,293.18,282.35,284.01,303.26,312.76,319.41,351.05,371.36,396.37,395.01,422.38,440.14,444.83,441.17,452.19,477.68,513.64,536.42,552.01
mwi,Malawi,604.48,570.59,541.56,521.26,498.24,494.16,492.93,503.5,516.15,525.74,555.14,576.4,608.11,622.44,657.59,672.88,647.28,646.39,683.28,745.98,847.79,937.29,1016.99,1073.84,1129.14,1194.01,1259.94,1350.71,1499.57,1652.64,1749.88,2272.4,2393.94,2679.26
mys,Malaysia,1349.53,1467.88,1561.92,1659.19,1801.02,1912.91,2062.07,2211.73,2410.66,2557.85,2750.56,2946.37,3117.5,3273.71,3468.37,3685.42,3891.35,4113.34,4325.94,4517.36,4785.54,5034.94,5350.84,5771.66,6083.13,6408.62,6762.28,7063.55,7333.53,7466.2,7808.01,8869.62,9437.58,9653.86
nam,Namibia,148.86,155.49,159.17,157.73,153.85,146.53,141.41,139.25,140.58,145.8,153.12,157.45,166.77,182.78,184.33,183.67,189.65,217.32,257.6,285.95,311.18,344.8,382.81,408.84,414.36,427.07,447.49,479.45,537.97,599.7,631.37,723.58,740.91,784.43
ner,Niger,435.92,453.63,468.94,490.36,509.4,526.61,552.76,574.94,596.12,605.84,634.5,638.42,667.95,675.2,694.98,715.22,773.47,805.27,848.39,895.32,936.54,970.18,1024.61,1096.34,1151.75,1232.01,1319.76,1436.01,1555.64,1687.65,1716.79,1902.44,2243.61,2455.7
nga,Nigeria,8327.32,8721.14,8667.13,8837.9,8938.83,9087,9378.13,9666.35,10080.73,10453.72,11109.34,11564.87,12294.48,12727.54,13406.61,14074.47,14898.19,15540.46,16257.54,17383.47,18645.91,19620.46,21316.14,24001.53,25635.81,27075.49,27898.28,29812.83,31609.58,33662.54,36113.64,39636.69,47815.94,53535.53
nic,Nicaragua,153.26,161.35,173.08,190.36,205.07,215.44,225.58,238.9,285.16,275.32,296,314.61,335.87,361.26,379.21,398.23,423.48,448.67,475.92,504.68,535.72,568.79,605.69,644.24,687.03,728.64,770.11,813.08,875.39,988.51,1032.7,1183.12,1181.66,1100.82
nld,Netherlands,9715.07,9992.54,10181.52,10515.39,10659.01,10790.1,11196.74,11454.12,11716.49,12159.15,12133.3,12400.9,12776.68,12831.34,12915,13016.26,13375.2,13529.33,14008.87,13834.15,14202.68,14338.09,14302.13,14244.04,13894.43,14472.31,14355.13,14084.55,13848.19,13678.29,13555.28,14051.61,14214.27,13783.48
nor,Norway,2092.2,2093.11,2205.12,2329.88,2441.24,2511.26,2627.42,2609.43,2638.22,2626.75,2709.63,2750.13,2742.23,2742.58,2739.28,2772.76,2804.05,2782.71,2750.2,2816.82,2840.45,2774.68,2794.51,2815.54,2822.02,2715.02,2785.82,2738.55,2856.34,2800.56,2708.94,2505.96,2627.12,2820.01
npl,Nepal,542.5,580.96,610.89,629.27,655.58,681.67,711.57,751.64,787.75,822.28,859.87,892.44,926.76,968.58,1004.09,1040.14,1071.33,1095.71,1123.89,1169.54,1193.03,1220.81,1265.32,1331.64,1409.58,1453.14,1539.16,1618.49,1697.87,1799.76,1892.13,2210.09,2349.24,2692.36
nru,Nauru,1.83,1.86,1.89,1.93,1.96,1.98,2,2.04,2.1,2.15,2.19,2.19,2.2,2.19,2.19,2.19,2.18,2.17,2.2,2.27,2.36,2.45,2.56,2.68,2.82,2.97,3.16,3.35,3.56,3.77,4.17,4.96,4.68,4.88
nzl,New Zealand,1769.33,1761.68,1779.91,1823.58,1876.48,2008.2,2232.28,2269.49,2286.39,2305.53,2316.94,2351.44,2407.14,2516.93,2562.32,2597.62,2552.79,2639.68,2653.29,2734.56,2785.06,2822.35,2833.4,2866.58,2949.11,3115.11,3207.74,3267.51,3285.75,3288.35,3231.61,3416.07,3630.99,3857.66
omn,Oman,42.67,43.33,47.13,50.29,55.61,61,65.31,70.81,77.07,83.31,91.24,97.48,104.63,110.17,114.06,118.65,124.67,129.06,136.8,145.77,156.93,168.42,179.71,193.39,208.38,219.41,232.85,249.5,265.51,286.33,295.95,344.06,346.06,387.31
pak,Pakistan,8600.6,8991.19,9270.85,9541.92,9736.12,9994.96,10368.72,10831.9,11455.9,12092.95,12868.93,13483.1,14133.45,14662.32,15378.99,16713.41,16893.4,18042.28,19360.45,20858.77,22222.08,23419.24,24699.26,26416.41,27984.13,29609.92,31366.87,33117.31,34717.77,37159.08,41771.24,49151.73,47583.55,49586.26
pan,Panama,236.44,256.79,278.56,298.35,314.57,325.8,316.9,327.57,346.66,364.59,408.29,419.13,414.06,434.32,469.83,487.32,496.86,531.16,563.88,599.95,640.25,679.34,726.67,761.21,794.36,828.28,870.59,904.61,948.57,1027.51,1034.38,1050.91,1100.62,1172.24
per,Peru,1488.93,1591.15,1688.88,1882.94,2077.91,2347.96,2684.74,2846.35,3034,3248.42,3324.24,3434.28,3551.43,3825.34,4096.01,4180.48,4274.38,4569.55,4842.9,4932.5,5080.74,5219.02,5404.31,5614.1,5797.18,6005.91,6483.68,7200.4,7820.94,8473.59,8705.81,11968.52,11328.56,11893.97
phl,Philippines,5337.18,5542.21,5816.31,6194.18,6563.16,6910.19,7285.25,7652.02,8043.31,8559,9110.49,9622.3,10035.91,10169.63,10333.81,10772.78,11104.88,11412.32,11931.82,12553.4,13165.91,13808.48,14586.28,15350.75,16004.96,16856.44,17816.45,18571.62,19321.47,20357.91,20852.95,24087.01,24755.62,24767.88
plw,Palau,3.43,3.67,3.91,4.17,4.47,4.78,5.04,5.27,5.55,5.73,5.88,6.02,6.15,6.3,6.42,6.45,6.37,6.26,6.17,6.19,6.21,6.24,6.37,6.51,6.81,7.12,7.39,7.55,7.76,8.42,8.9,9.85,9.36,9.54
png,Papua New Guinea,290.79,303.69,318.77,336.16,355,369.46,392.24,404.64,419.22,442.35,450.67,449.44,455.51,455.77,455.57,463.91,479.78,525.71,550.75,567.93,637.93,694.04,730.82,732.36,783.44,859.78,867.42,910.18,943.04,1035.46,1058.07,1103.64,1311.85,1395.77
pol,Poland,9804.05,10093.15,10638.47,10995.52,11312.58,11803.81,12219.29,12729.72,13196.79,13717.31,13985.9,14392.85,14778.32,15287.04,15538.85,16081.93,16501.87,16708.59,17039.07,17220.86,17425.25,17777.41,18045.23,18464.77,18841.02,19299.25,19307.93,19605.97,19822.41,19945.71,19962.2,19000.25,19270.58,19125.92
prk,North Korea,1476.64,1553.22,1621.32,1682.72,1749.37,1799.39,1856.79,1914.6,1989.09,2082.33,2173.14,2275.4,2386.14,2523.65,2702.24,2886.12,3050,3195.08,3340.25,3488.96,3661.54,3831.63,4033.59,4187.93,4359.25,4550.73,4778.3,5020.04,5316.56,5625.69,5823.49,6120.82,6615.72,6808.97
prt,Portugal,5027.99,5324.19,5571.57,5690.98,5880.32,6067.87,6416.38,6563.96,6762.13,6840.31,7006.29,7234.05,7333.92,7577,7706.76,8655.08,9040.15,8750.32,8690.63,8684.89,8833.33,8744,9100.21,8828.63,8666,8899.2,9277.11,9225.08,9331.16,9608.81,9708.16,9221.45,10056.95,9830.75
pry,Paraguay,320.38,348.38,378.15,410.89,442.67,466.07,492.98,521.29,551.23,576.16,594.76,631.52,672.25,704.07,738.44,781.41,810.35,851.87,876.15,900.91,942.74,985.92,1028.34,1051.93,1101.81,1148.5,1190.44,1246.3,1306.79,1379.44,1427.69,1538.64,1401.41,1504.15
pse,Palestine,129.58,135.84,143.55,152.04,161.46,170.48,179.24,189.42,202.46,216.43,230.88,246.12,260.66,277.18,296.13,316.52,338.6,362.74,391.61,426.7,466.27,502.4,534.94,562.14,600.01,635.62,677.58,727.37,767.59,810.36,814.8,870.75,953.22,1032.07
qat,Qatar,25.66,27.32,30.4,34.72,37.2,38.63,40.73,44.47,46.99,50.87,55.69,60.37,66.55,72.17,76.22,81.95,88.74,95.54,103.91,115.25,128.12,138.8,148.1,158.96,175.14,185.34,194.82,208.53,224.46,248.16,261.56,284.14,327.87,396.55
rou,Romania,5327.4,5474.35,5542.86,5678.85,5912.71,6298.56,6402.03,6456.16,6742.11,7099.31,7294.15,7457.51,7595.85,7671.39,7867.86,8074.86,8111.01,8120.18,8131.76,8372.06,8467.54,8562.94,8712.52,9041.49,9314.54,9592.78,9663.04,9709.73,9554.78,9392.47,9280.85,9405.51,9399.9,9245.69
rus,Russia,38577.07,39854.29,41742.11,43560.25,44547.72,44373.83,45393.37,46995.94,48067.7,49592.86,50494.22,50653.53,52203.84,54138.44,55595.08,56436.51,56922.4,58488.07,60818.43,62721.77,64886.85,66056.79,66996.75,68216.72,68977.11,71576.99,71930.2,72328.9,73249.14,73034.71,72831.02,71164.84,67250.32,68256.11
rwa,Rwanda,702.97,737.66,765.7,780.37,910.84,653.01,557.15,614.33,653.12,632.29,597.58,560.79,546.49,541.23,567.88,627.14,708.03,764.16,809.04,861.08,898.22,948.07,999.84,1073.23,1134.66,1199.97,1255.73,1345.66,1471.66,1624.84,1743.81,1925.01,2424.15,2835.93
sau,Saudi Arabia,438.22,483.38,536.11,597.08,663.56,716.1,772.12,836.73,911.42,996.59,1096.14,1205.4,1326.88,1453.72,1584.59,1760.53,1966.41,2186.74,2418.71,2629.7,2807.37,2927.58,2982.84,2977.69,3009.79,2951.19,2987.26,3080.44,3136.93,3315.54,3566.81,3861.1,4004.63,4025.39
sdn,Sudan,705.69,737.09,765.89,796.98,809.78,835.44,861.62,887.23,925.91,947.51,977.65,1008.38,1039.8,1075.13,1122.29,1161.93,1225.58,1293.6,1387.03,1502.23,1592.48,1685.67,1768.96,1902.15,2064.47,2244.02,2447.49,2654.52,2847.49,3110.01,3564.14,3949.85,4151.52,4377.31
sen,Senegal,329.1,352.09,369.62,384.77,401.96,408.77,435.93,441.66,462.46,480.55,463.66,628.71,641.8,597.6,636.94,651.9,657.84,726.78,804.08,858.25,811.07,841.24,817.72,866.23,958.37,971.95,1096.13,1177.97,1238.8,1464.7,1460.45,1536.15,2131.29,2473.36
sgp,Singapore,591.24,630.4,654.97,717.88,758.21,794.84,863.32,931.49,946.27,1049.79,1087.12,1213.29,1247,1240.44,1287.64,1398.39,1529.09,1641.51,1785.7,1895.34,1909.64,1982.78,2059.06,2180.56,2194.8,2253.21,2341.15,2469.97,2529.46,2505.08,2505.57,2634.95,2686.19,2778.38
slb,Solomon Islands,19.1,20.53,21.19,22.46,23.98,24.92,26.38,28.42,30.47,31.91,34.17,34.38,34.83,35.77,36.43,38.42,40.66,41.32,41.88,48.18,50.32,60.27,67.2,74.01,83.85,90.39,93.78,101.1,107.21,116.24,125.42,132.62,151.19,161.33
sle,Sierra Leone,270.07,280.98,293.06,297.65,305.11,309,305.23,294.27,298,288.54,286.08,275.94,278.9,283.47,286.4,299.08,318.76,327.57,337.34,358.05,393.59,421.43,465.17,499.57,533.43,567.87,603.08,655.33,696.62,752.4,779.16,839.76,940.26,1059.47
slv,El Salvador,280.04,296.18,306.36,321.6,339.4,371.27,402.54,437.35,469.96,503.97,542.25,583.82,615.05,645.92,665.67,681.9,704.54,737.6,771.43,785.01,814.67,837.2,914.08,958.68,1001.39,1031.75,1058.6,1106.72,1172.33,1245.32,1313.75,1456.15,1513.99,1619.57
smr,San Marino,11.29,11.5,11.69,12.16,12.76,13.7,14.61,15.5,16.58,17.55,18.07,18.84,19.42,20.34,19.8,20.2,20.37,20.43,20.63,20.67,21.18,21.53,21.78,21.58,21.46,21.65,22.47,23.24,23.83,24.88,24.59,25.71,26.45,28.53
som,Somalia,132.03,136.22,142.48,142.56,146.93,148.67,152.98,158.54,164.85,172.11,183.5,190.94,199.69,206.49,218.08,230.41,241.27,254.24,264.09,278.91,292.21,305.38,317.15,330.12,352.22,378.1,408.11,438.22,471.18,509.43,487.25,584.97,622.07,680.27
srb,Serbia,3163.12,3363.57,3487.85,3614.99,3750.3,3868.21,4052.97,4217.35,4426.2,4584.73,4704.79,4592.43,4703.44,4723.5,4837.6,4989.97,5009.02,5179.38,5280.07,5346.74,5460.49,5473.26,5514.23,5502.45,5574.12,5705.53,5647.77,5793,5729.42,5757.46,5822.62,5836.57,5846.78,5952.67
ssd,South Sudan,375.44,380.38,392.39,398.39,404.16,416.85,414.52,389.46,401.5,408.02,424.24,412.19,418.81,444.45,469.02,482.6,527.78,551.97,575.96,616.2,652.91,689.6,731.7,785.78,855.9,922.38,958.7,964.5,986.85,1031.87,1062.7,1082.73,1344.36,1438.29
stp,Sao Tome and Principe,5.97,5.86,5.86,5.87,5.86,5.55,5.57,5.65,5.93,6.3,6.22,6.7,7.1,7.45,7.85,8.69,9.64,10.41,11.23,12.32,13.9,14.77,15.5,16.97,19.35,21.19,23.22,25.57,27.74,29.93,33.12,35.26,37.09,40.19
sur,Suriname,38.18,39.15,40.55,41.66,44,46.92,50.43,52.82,53.86,54.96,53.93,55.52,59.78,63.39,67.23,70.98,74.89,78.7,82.51,87.12,92.13,98.11,103.12,105.81,108.18,110.87,112.91,114.2,115.71,119.48,123.34,142.98,131.71,136.64
svk,Slovak Republic,1434.86,1481.82,1530.73,1598.15,1683.91,1741.26,1782.33,1819.67,1867.02,1901.5,1948.41,1978.95,1983.1,1987.67,2002.03,2043.76,2090.45,2123.49,2161.38,2191.44,2276.92,2332.18,2402.71,2461.5,2521.55,2611,2668.08,2727.5,2744,2759.53,2807.79,2856.08,2843.48,2817.58
svn,Slovenia,852.59,888.01,946.13,1001,985.32,1013.75,1018.26,1060.19,1099.74,1131.92,1110.63,1161.53,1216.3,1198.59,1208.45,1242.82,1252.02,1247.77,1308.64,1314.98,1303.5,1266.02,1259.2,1295.07,1309.28,1357.25,1343.66,1368.68,1374.67,1366.44,1425.39,1393.05,1433.43,1431.63
swe,Sweden,5071.71,5143.03,5284.38,5396.06,5398.83,5680.58,5853.43,6011.66,6204.87,6175.03,6292.01,6265.75,6303.32,6484.53,6696.17,6811.1,6792.35,6720.92,6855.18,6678.7,6848.65,6883.06,6987.45,6990.57,6862.05,6853.44,6782.27,6810.17,6741.62,6676.87,6753.78,6618.93,6823.18,6983.64
swz,Eswatini,102.26,109.18,115.33,117.15,114.91,107.23,97.64,87.95,79.72,74.93,73.61,78.67,83.54,95.98,112.02,123.72,126.03,119.45,115.53,117.25,119.39,121.06,120.96,119.4,116.79,114.67,117.02,123.71,131.81,140.89,160.77,176.9,185.07,191.29
syc,Seychelles,7.43,8.03,8.63,9.25,9.83,10.49,11.31,12.25,13.26,14.27,15.25,16,16.65,17.26,17.92,18.46,18.91,19.83,20.68,21.51,22.08,22.47,22.86,23.3,23.33,23.28,23.46,23.24,23.33,24.3,24.41,28.5,28.34,31.1
syr,Syria,439.17,474.6,513.87,557.08,598.18,637.07,679.91,720.12,755.4,820.4,913.61,1003.17,1074.49,1167.19,1202.37,1265.64,1319.27,1411.74,1527.94,1632.01,1751.22,1814.03,1813.48,1780.13,1741.38,1720.51,1757.78,1838.59,1910.49,2013.99,2015.83,1981.27,2223.35,2302.87
tcd,Chad,366.44,369.54,371.75,380.64,369.82,359.53,366.71,371.3,372.8,377.52,388.17,399.62,407.76,417.04,430.27,453.13,476.58,505.82,535.49,573.42,609.88,637.88,661.64,692,721.84,768.08,815.66,858.28,914.95,973.11,1009.63,1049.84,1287.16,1406.79
tgo,Togo,208.29,214.74,219.14,221.42,221.62,223.2,224.94,228.07,237.71,244.43,259.27,268.04,280.62,291.76,306.68,324.59,348.08,354.44,387.57,434.74,487.78,534.01,568.46,605.11,634.66,691.36,778.61,893.63,977.82,1079.72,1139.49,1271.36,1507.18,1651.56
